Date	DoW M=1	Debit	Credit
43191	7	-78.67	
43191	7	-2.99	
43190	6	0	
43189	5	-12.99	12.99
43189	5	-12.99	
43188	4	0	
43188	4	0	77.41
43187	3	0	
43187	3	-40	
43187	3	-457.06	457.06
43186	2	0	
43185	1	-49.82	
43185	1	-14	
43184	7	0	
43183	6	0	
43182	5	0	
43181	4	0	
43181	4	0	3575.3
43180	3	0	
43180	3	-130.15	130.15
43179	2	-309.27	
43179	2	0	
43179	2	0	16.82
43178	1	-77.8	
43178	1	0	13.86
43178	1	-15.98	
43177	7	-1.04	
43176	6	-3.15	
43176	6	-3.79	
43176	6	-126.36	
43176	6	-2.37	
43176	6	-5	
43176	6	-79.04	500
43175	5	-1.43	
43175	5	-5	
43175	5	-47.52	300
43175	5	0	
43174	4	-24.22	24.22
43174	4	0	
43174	4	0	17.97
43173	3	-157.57	157.57
43173	3	0	
43173	3	-24.22	
43172	2	0	
43172	2	0	827
43171	1	0	
43170	7	0	
43170	7	-22.94	
43169	6	0	
43169	6	-8.69	
43169	6	0	175.37
43168	5	-125.94	
43168	5	-99.13	99.13
43167	4	0	
43167	4	0	3380.91
43166	3	-85.48	
43166	3	-2727.51	2727.51
43166	3	-7.67	
43165	2	-12.99	12.99
43165	2	-5.97	
43165	2	-12.99	
43164	1	-62.55	
43164	1	-10.14	
43163	7	-100	
43163	7	-156.12	
43163	7	-13.46	13.46
43163	7	-145.51	
43163	7	-204.38	
43163	7	-8.61	
43162	6	-53.02	
43162	6	-46.04	
43162	6	-64.12	
43162	6	-110.74	
43162	6	-12.74	
43161	5	-410.56	
43161	5	-430.95	
43161	5	-85.65	
43161	5	-449.28	449.28
43161	5	-85.65	
43161	5	-175.37	
43161	5	0	204.3
43160	4	-8549.8	8000
43160	4	-13.46	
43160	4	-449.28	
43160	4	-4.77	
43160	4	-35.43	
43160	4	-8.05	
43160	4	-1.27	
43160	4	-2.99	
43160	4	0	10914.23
43159	3	-286.99	
43159	3	-231.27	
43159	3	-7.67	
43159	3	0	125
43159	3	-1756.4	1756.4
43159	3	-12.99	12.99
43159	3	-12.99	
43159	3	-5.49	
43159	3	0	740.36
43158	2	-38.46	
