Date	DoW.M=1	NetSpend
5-Nov-14	3	-29.36
6-Nov-14	4	0
7-Nov-14	5	-9.99
8-Nov-14	6	-91.64
9-Nov-14	7	-53.05
10-Nov-14	1	-32.51
11-Nov-14	2	-21.40
12-Nov-14	3	-50.67
13-Nov-14	4	-174.47
14-Nov-14	5	-276.08
15-Nov-14	6	-83.29
16-Nov-14	7	-128.60
17-Nov-14	1	-64.13
18-Nov-14	2	-16.74
19-Nov-14	3	-72.69
20-Nov-14	4	-6.69
21-Nov-14	5	-45.41
22-Nov-14	6	-122.31
23-Nov-14	7	-216.77
24-Nov-14	1	-36.78
25-Nov-14	2	-36.03
26-Nov-14	3	-30.71
27-Nov-14	4	-33.24
28-Nov-14	5	-111.42
29-Nov-14	6	-65.54
30-Nov-14	7	-68.91
1-Dec-14	1	-15.25
2-Dec-14	2	-69.02
3-Dec-14	3	0
4-Dec-14	4	-48.77
5-Dec-14	5	-28.56
6-Dec-14	6	-143.11
7-Dec-14	7	-101.06
8-Dec-14	1	-49.38
9-Dec-14	2	-16.70
10-Dec-14	3	-199.96
11-Dec-14	4	-30.82
12-Dec-14	5	-131.13
13-Dec-14	6	-116.63
14-Dec-14	7	-82.31
15-Dec-14	1	-47.04
16-Dec-14	2	-53.49
17-Dec-14	3	-82.79
18-Dec-14	4	-95.19
19-Dec-14	5	-43.31
20-Dec-14	6	-251.00
21-Dec-14	7	-35.00
22-Dec-14	1	-46.21
23-Dec-14	2	-50.83
24-Dec-14	3	-131.59
25-Dec-14	4	0
26-Dec-14	5	-106.95
27-Dec-14	6	-144.41
28-Dec-14	7	-101.85
29-Dec-14	1	-38.56
30-Dec-14	2	-57.06
31-Dec-14	3	-40.00
1-Jan-15	4	-144.00
2-Jan-15	5	-81.07
3-Jan-15	6	-151.43
4-Jan-15	7	-137.46
5-Jan-15	1	-42.10
6-Jan-15	2	-37.89
7-Jan-15	3	-243.48
8-Jan-15	4	-47.38
9-Jan-15	5	-16.51
10-Jan-15	6	-72.67
11-Jan-15	7	-51.10
12-Jan-15	1	-16.19
13-Jan-15	2	-6.62
14-Jan-15	3	-16.53
15-Jan-15	4	-17.90
16-Jan-15	5	0
17-Jan-15	6	-70.25
18-Jan-15	7	-173.81
19-Jan-15	1	0
20-Jan-15	2	-7.06
21-Jan-15	3	-31.62
22-Jan-15	4	-62.32
23-Jan-15	5	-28.48
24-Jan-15	6	-106.70
25-Jan-15	7	-92.46
26-Jan-15	1	0
27-Jan-15	2	-8.89
28-Jan-15	3	-83.25
29-Jan-15	4	-18.48
30-Jan-15	5	-81.80
31-Jan-15	6	-237.91
1-Feb-15	7	-194.57
2-Feb-15	1	-18.10
3-Feb-15	2	-59.30
4-Feb-15	3	-7.75
5-Feb-15	4	-9.14
6-Feb-15	5	-162.03
7-Feb-15	6	-121.95
8-Feb-15	7	-205.07
9-Feb-15	1	-107.63
10-Feb-15	2	-72.30
11-Feb-15	3	-66.48
12-Feb-15	4	-62.16
13-Feb-15	5	-138.95
14-Feb-15	6	-43.43
15-Feb-15	7	-71.64
16-Feb-15	1	-163.25
17-Feb-15	2	-53.00
18-Feb-15	3	-10.75
19-Feb-15	4	-68.80
20-Feb-15	5	-58.75
21-Feb-15	6	-310.35
22-Feb-15	7	-128.05
23-Feb-15	1	-5.49
24-Feb-15	2	-209.46
25-Feb-15	3	-6.19
26-Feb-15	4	-26.33
27-Feb-15	5	-146.54
28-Feb-15	6	-127.59
1-Mar-15	7	-160.54
2-Mar-15	1	-44.39
3-Mar-15	2	-23.18
4-Mar-15	3	-50.65
5-Mar-15	4	-206.77
6-Mar-15	5	-51.43
7-Mar-15	6	-13.05
8-Mar-15	7	-370.65
9-Mar-15	1	-57.38
10-Mar-15	2	-6.36
11-Mar-15	3	-58.85
12-Mar-15	4	-17.41
13-Mar-15	5	-112.00
14-Mar-15	6	-90.54
15-Mar-15	7	-74.42
16-Mar-15	1	-66.51
17-Mar-15	2	-36.33
18-Mar-15	3	-36.00
19-Mar-15	4	-96.24
20-Mar-15	5	-327.26
21-Mar-15	6	-209.38
22-Mar-15	7	-77.89
23-Mar-15	1	-64.47
24-Mar-15	2	-23.88
25-Mar-15	3	-17.41
26-Mar-15	4	-158.70
27-Mar-15	5	-32.25
28-Mar-15	6	-118.65
29-Mar-15	7	-145.24
30-Mar-15	1	-19.97
31-Mar-15	2	-29.67
1-Apr-15	3	-211.97
2-Apr-15	4	-4.89
3-Apr-15	5	-30.24
4-Apr-15	6	-35.45
5-Apr-15	7	-100.21
6-Apr-15	1	-36.97
7-Apr-15	2	-91.81
8-Apr-15	3	-57.27
9-Apr-15	4	-5.82
10-Apr-15	5	-30.94
11-Apr-15	6	-155.30
12-Apr-15	7	-166.83
13-Apr-15	1	-62.30
14-Apr-15	2	-5.82
15-Apr-15	3	-10.00
16-Apr-15	4	-24.28
17-Apr-15	5	-56.62
18-Apr-15	6	-680.45
19-Apr-15	7	-245.45
20-Apr-15	1	-5.82
21-Apr-15	2	-64.44
22-Apr-15	3	-12.50
23-Apr-15	4	-21.36
24-Apr-15	5	-76.97
25-Apr-15	6	-102.08
26-Apr-15	7	-94.61
27-Apr-15	1	-12.60
28-Apr-15	2	-162.53
29-Apr-15	3	-62.00
30-Apr-15	4	-92.23
1-May-15	5	-167.95
2-May-15	6	-16.92
3-May-15	7	-74.81
4-May-15	1	-5.82
5-May-15	2	-24.62
6-May-15	3	-66.55
7-May-15	4	-51.81
8-May-15	5	-18.42
9-May-15	6	-305.79
10-May-15	7	-86.82
11-May-15	1	0
12-May-15	2	-113.53
13-May-15	3	-128.15
14-May-15	4	-54.67
15-May-15	5	-32.81
16-May-15	6	-45.80
17-May-15	7	-94.61
18-May-15	1	-142.40
19-May-15	2	-5.82
20-May-15	3	-65.74
21-May-15	4	-53.47
22-May-15	5	-82.16
23-May-15	6	-172.37
24-May-15	7	-117.89
25-May-15	1	-42.93
26-May-15	2	-5.82
27-May-15	3	-5.82
28-May-15	4	-18.81
29-May-15	5	-163.73
30-May-15	6	-337.65
31-May-15	7	-467.97
1-Jun-15	1	-101.19
2-Jun-15	2	-186.33
3-Jun-15	3	-11.16
4-Jun-15	4	-61.79
5-Jun-15	5	-99.18
6-Jun-15	6	0
7-Jun-15	7	-65.83
8-Jun-15	1	-19.27
9-Jun-15	2	-145.43
10-Jun-15	3	-59.31
11-Jun-15	4	0
12-Jun-15	5	0
13-Jun-15	6	-80.34
14-Jun-15	7	-6.09
15-Jun-15	1	-138.01
16-Jun-15	2	0
17-Jun-15	3	-41.00
18-Jun-15	4	-34.65
19-Jun-15	5	-22.88
20-Jun-15	6	-106.62
21-Jun-15	7	-80.71
22-Jun-15	1	-20.00
23-Jun-15	2	-18.89
24-Jun-15	3	-321.47
25-Jun-15	4	-9.95
26-Jun-15	5	-49.12
27-Jun-15	6	-99.06
28-Jun-15	7	-18.99
29-Jun-15	1	-18.43
30-Jun-15	2	-15.82
1-Jul-15	3	-99.72
2-Jul-15	4	-29.69
3-Jul-15	5	-89.20
4-Jul-15	6	-238.10
5-Jul-15	7	-42.52
6-Jul-15	1	-5.82
7-Jul-15	2	-46.80
8-Jul-15	3	-56.49
9-Jul-15	4	-27.25
10-Jul-15	5	-78.89
11-Jul-15	6	-250.12
12-Jul-15	7	-63.55
13-Jul-15	1	9.18
14-Jul-15	2	-36.72
15-Jul-15	3	-75.59
16-Jul-15	4	-17.29
17-Jul-15	5	-57.50
18-Jul-15	6	-163.10
19-Jul-15	7	-217.25
20-Jul-15	1	-14.97
21-Jul-15	2	-132.85
22-Jul-15	3	-97.34
23-Jul-15	4	-60.58
24-Jul-15	5	-13.39
25-Jul-15	6	-85.01
26-Jul-15	7	-94.09
27-Jul-15	1	-10.82
28-Jul-15	2	-30.11
29-Jul-15	3	-380.85
30-Jul-15	4	-27.32
31-Jul-15	5	-90.19
1-Aug-15	6	-18.90
2-Aug-15	7	-190.66
3-Aug-15	1	-29.78
4-Aug-15	2	-109.00
5-Aug-15	3	-70.44
6-Aug-15	4	-12.99
7-Aug-15	5	-99.62
8-Aug-15	6	-22.12
9-Aug-15	7	-47.14
10-Aug-15	1	-118.98
11-Aug-15	2	-5.82
12-Aug-15	3	-30.74
13-Aug-15	4	-183.66
14-Aug-15	5	-143.23
15-Aug-15	6	-99.92
16-Aug-15	7	-80.02
17-Aug-15	1	-74.22
18-Aug-15	2	-114.07
19-Aug-15	3	-5.82
20-Aug-15	4	-55.70
21-Aug-15	5	-34.77
22-Aug-15	6	-287.81
23-Aug-15	7	-154.19
24-Aug-15	1	-54.50
25-Aug-15	2	-33.31
26-Aug-15	3	-16.16
27-Aug-15	4	-8.82
28-Aug-15	5	-29.71
29-Aug-15	6	-216.28
30-Aug-15	7	-503.13
31-Aug-15	1	-127.70
1-Sep-15	2	-19.06
2-Sep-15	3	-70.05
3-Sep-15	4	0
4-Sep-15	5	-66.30
5-Sep-15	6	-60.75
6-Sep-15	7	-453.86
7-Sep-15	1	-29.99
8-Sep-15	2	-165.81
9-Sep-15	3	-5.82
10-Sep-15	4	40.36
11-Sep-15	5	-195.26
12-Sep-15	6	-143.06
13-Sep-15	7	-106.39
14-Sep-15	1	-240.51
15-Sep-15	2	-66.82
16-Sep-15	3	-97.85
17-Sep-15	4	-31.82
18-Sep-15	5	-27.50
19-Sep-15	6	-75.68
20-Sep-15	7	-148.34
21-Sep-15	1	-42.57
22-Sep-15	2	-15.72
23-Sep-15	3	-53.04
24-Sep-15	4	-37.32
25-Sep-15	5	-35.17
26-Sep-15	6	-135.68
27-Sep-15	7	-109.61
28-Sep-15	1	-40.38
29-Sep-15	2	-50.26
30-Sep-15	3	-93.22
1-Oct-15	4	-86.82
2-Oct-15	5	-33.48
3-Oct-15	6	-70.48
4-Oct-15	7	-112.59
5-Oct-15	1	-60.42
6-Oct-15	2	-61.47
7-Oct-15	3	-64.07
8-Oct-15	4	-46.70
9-Oct-15	5	-59.86
10-Oct-15	6	-100.26
11-Oct-15	7	-39.82
12-Oct-15	1	-26.31
13-Oct-15	2	-31.12
14-Oct-15	3	-86.01
15-Oct-15	4	-84.40
16-Oct-15	5	-117.28
17-Oct-15	6	-25.02
18-Oct-15	7	-130.82
19-Oct-15	1	-275.29
20-Oct-15	2	-48.40
21-Oct-15	3	35.67
22-Oct-15	4	-20.82
23-Oct-15	5	-103.38
24-Oct-15	6	-46.30
25-Oct-15	7	-65.26
26-Oct-15	1	-25.82
27-Oct-15	2	-5.82
28-Oct-15	3	-15.82
29-Oct-15	4	-42.36
30-Oct-15	5	-99.05
31-Oct-15	6	-202.63
1-Nov-15	7	-59.50
2-Nov-15	1	-6.09
3-Nov-15	2	-13.48
4-Nov-15	3	-54.63
5-Nov-15	4	-70.69
6-Nov-15	5	-46.42
7-Nov-15	6	-95.83
