Date	DoW.M=1	NetSpend
8-Nov-16	2	-130.27
9-Nov-16	3	-21.23
10-Nov-16	4	-33.40
11-Nov-16	5	-105.33
12-Nov-16	6	-60.19
13-Nov-16	7	-139.75
14-Nov-16	1	-107.82
15-Nov-16	2	0
16-Nov-16	3	-158.67
17-Nov-16	4	-67.66
18-Nov-16	5	-155.93
19-Nov-16	6	-245.07
20-Nov-16	7	-67.86
21-Nov-16	1	-106.81
22-Nov-16	2	-110.89
23-Nov-16	3	-39.00
24-Nov-16	4	0
25-Nov-16	5	-182.51
26-Nov-16	6	-123.37
27-Nov-16	7	-81.50
28-Nov-16	1	-38.43
29-Nov-16	2	-107.51
30-Nov-16	3	-37.71
1-Dec-16	4	-36.90
2-Dec-16	5	-150.00
3-Dec-16	6	-191.43
4-Dec-16	7	-151.81
5-Dec-16	1	-255.92
6-Dec-16	2	-69.50
7-Dec-16	3	0
8-Dec-16	4	-31.53
9-Dec-16	5	-25.00
10-Dec-16	6	-88.31
11-Dec-16	7	-5.98
12-Dec-16	1	0
13-Dec-16	2	-39.76
14-Dec-16	3	-108.50
15-Dec-16	4	-21.28
16-Dec-16	5	0
17-Dec-16	6	-164.10
18-Dec-16	7	0
19-Dec-16	1	-184.62
20-Dec-16	2	-54.92
21-Dec-16	3	-130.95
22-Dec-16	4	-316.06
23-Dec-16	5	-38.99
24-Dec-16	6	0
25-Dec-16	7	0
26-Dec-16	1	-21.81
27-Dec-16	2	-63.94
28-Dec-16	3	-38.96
29-Dec-16	4	-188.91
30-Dec-16	5	-80.37
31-Dec-16	6	-183.79
1-Jan-17	7	-57.99
2-Jan-17	1	-231.30
3-Jan-17	2	-206.96
4-Jan-17	3	-170.18
5-Jan-17	4	-205.44
6-Jan-17	5	-195.88
7-Jan-17	6	-66.93
8-Jan-17	7	0
9-Jan-17	1	-5.59
10-Jan-17	2	-6.08
11-Jan-17	3	-6.08
12-Jan-17	4	-71.86
13-Jan-17	5	-12.49
14-Jan-17	6	-10.53
15-Jan-17	7	-66.89
16-Jan-17	1	-135.44
17-Jan-17	2	-58.02
18-Jan-17	3	-18.26
19-Jan-17	4	-239.63
20-Jan-17	5	-26.52
21-Jan-17	6	-80.72
22-Jan-17	7	-119.26
23-Jan-17	1	-74.04
24-Jan-17	2	-72.37
25-Jan-17	3	-81.31
26-Jan-17	4	-8.14
27-Jan-17	5	-8.46
28-Jan-17	6	-142.46
29-Jan-17	7	-118.74
30-Jan-17	1	-36.12
31-Jan-17	2	-5.75
1-Feb-17	3	-288.81
2-Feb-17	4	-23.73
3-Feb-17	5	-62.27
4-Feb-17	6	-44.43
5-Feb-17	7	-114.79
6-Feb-17	1	-32.49
7-Feb-17	2	-90.58
8-Feb-17	3	-76.16
9-Feb-17	4	-63.58
10-Feb-17	5	-95.88
11-Feb-17	6	-26.57
12-Feb-17	7	0
13-Feb-17	1	-42.97
14-Feb-17	2	-29.86
15-Feb-17	3	-23.40
16-Feb-17	4	-121.80
17-Feb-17	5	-424.19
18-Feb-17	6	-45.32
19-Feb-17	7	-23.10
20-Feb-17	1	77.36
21-Feb-17	2	-112.84
22-Feb-17	3	-68.30
23-Feb-17	4	-124.03
24-Feb-17	5	-141.43
25-Feb-17	6	-508.88
26-Feb-17	7	-96.19
27-Feb-17	1	-229.38
28-Feb-17	2	-453.16
1-Mar-17	3	-297.18
2-Mar-17	4	-176.70
3-Mar-17	5	-126.13
4-Mar-17	6	-303.75
5-Mar-17	7	-206.04
6-Mar-17	1	-22.99
7-Mar-17	2	-111.59
8-Mar-17	3	0
9-Mar-17	4	-18.96
10-Mar-17	5	-105.00
11-Mar-17	6	-279.74
12-Mar-17	7	-82.96
13-Mar-17	1	0
14-Mar-17	2	0
15-Mar-17	3	-111.93
16-Mar-17	4	0
17-Mar-17	5	0
18-Mar-17	6	-141.07
19-Mar-17	7	-131.73
20-Mar-17	1	-38.78
21-Mar-17	2	-28.31
22-Mar-17	3	-75.01
23-Mar-17	4	0
24-Mar-17	5	-53.76
25-Mar-17	6	-212.37
26-Mar-17	7	-139.26
27-Mar-17	1	-34.06
28-Mar-17	2	-29.75
29-Mar-17	3	-17.30
30-Mar-17	4	-12.69
31-Mar-17	5	-348.47
1-Apr-17	6	-146.01
2-Apr-17	7	-50.85
3-Apr-17	1	-10.00
4-Apr-17	2	-17.00
5-Apr-17	3	0
6-Apr-17	4	-226.88
7-Apr-17	5	-21.63
8-Apr-17	6	-148.37
9-Apr-17	7	-160.60
10-Apr-17	1	-77.29
11-Apr-17	2	-63.95
12-Apr-17	3	-68.55
13-Apr-17	4	-95.60
14-Apr-17	5	-28.10
15-Apr-17	6	-155.57
16-Apr-17	7	-167.95
17-Apr-17	1	-93.56
18-Apr-17	2	-171.71
19-Apr-17	3	-59.48
20-Apr-17	4	-87.25
21-Apr-17	5	-226.51
22-Apr-17	6	-296.39
23-Apr-17	7	-100.65
24-Apr-17	1	-133.81
25-Apr-17	2	-65.38
26-Apr-17	3	-208.98
27-Apr-17	4	-305.82
28-Apr-17	5	-212.78
29-Apr-17	6	-167.17
30-Apr-17	7	-129.59
1-May-17	1	-228.91
2-May-17	2	-8.55
3-May-17	3	-144.45
4-May-17	4	-55.35
5-May-17	5	-28.85
6-May-17	6	-243.38
7-May-17	7	-110.75
8-May-17	1	-61.32
9-May-17	2	-34.26
10-May-17	3	-30.09
11-May-17	4	-7.77
12-May-17	5	-57.96
13-May-17	6	-221.13
14-May-17	7	-50.93
15-May-17	1	-6.25
16-May-17	2	-17.47
17-May-17	3	-13.35
18-May-17	4	-94.54
19-May-17	5	-26.80
20-May-17	6	-276.74
21-May-17	7	-119.73
22-May-17	1	-15.75
23-May-17	2	-28.30
24-May-17	3	-60.53
25-May-17	4	-7.05
26-May-17	5	-243.29
27-May-17	6	-274.63
28-May-17	7	-267.91
29-May-17	1	-83.32
30-May-17	2	-20.17
31-May-17	3	-94.66
1-Jun-17	4	-13.43
2-Jun-17	5	-94.40
3-Jun-17	6	-48.10
4-Jun-17	7	-85.29
5-Jun-17	1	-131.12
6-Jun-17	2	-43.50
7-Jun-17	3	-23.09
8-Jun-17	4	-91.82
9-Jun-17	5	-72.24
10-Jun-17	6	-96.74
11-Jun-17	7	-347.92
12-Jun-17	1	-81.44
13-Jun-17	2	0
14-Jun-17	3	-8.11
15-Jun-17	4	-9.29
16-Jun-17	5	-95.67
17-Jun-17	6	-148.65
18-Jun-17	7	-190.32
19-Jun-17	1	-39.26
20-Jun-17	2	-99.27
21-Jun-17	3	-21.27
22-Jun-17	4	-47.99
23-Jun-17	5	-86.59
24-Jun-17	6	-271.36
25-Jun-17	7	-13.49
26-Jun-17	1	-105.16
27-Jun-17	2	-68.73
28-Jun-17	3	-259.09
29-Jun-17	4	-36.28
30-Jun-17	5	-143.83
1-Jul-17	6	-301.66
2-Jul-17	7	-280.45
3-Jul-17	1	-33.81
4-Jul-17	2	-64.88
5-Jul-17	3	-157.12
6-Jul-17	4	-128.77
7-Jul-17	5	-36.32
8-Jul-17	6	-171.04
9-Jul-17	7	-70.00
10-Jul-17	1	-95.33
11-Jul-17	2	-90.53
12-Jul-17	3	-46.98
13-Jul-17	4	-29.02
14-Jul-17	5	-36.81
15-Jul-17	6	-261.71
16-Jul-17	7	-188.97
17-Jul-17	1	-38.80
18-Jul-17	2	-44.02
19-Jul-17	3	0
20-Jul-17	4	0
21-Jul-17	5	-206.80
22-Jul-17	6	-28.77
23-Jul-17	7	-66.96
24-Jul-17	1	-62.00
25-Jul-17	2	-29.00
26-Jul-17	3	0
27-Jul-17	4	-145.10
28-Jul-17	5	-63.37
29-Jul-17	6	-205.84
30-Jul-17	7	-137.14
31-Jul-17	1	-42.35
1-Aug-17	2	-10.20
2-Aug-17	3	-33.95
3-Aug-17	4	-283.68
4-Aug-17	5	-224.14
5-Aug-17	6	-589.30
6-Aug-17	7	-38.16
7-Aug-17	1	-57.53
8-Aug-17	2	-5.66
9-Aug-17	3	-46.13
10-Aug-17	4	-69.58
11-Aug-17	5	-28.31
12-Aug-17	6	-150.33
13-Aug-17	7	-152.17
14-Aug-17	1	-11.01
15-Aug-17	2	-83.22
16-Aug-17	3	-8.34
17-Aug-17	4	-28.79
18-Aug-17	5	-62.83
19-Aug-17	6	-100.49
20-Aug-17	7	-24.55
21-Aug-17	1	-76.53
22-Aug-17	2	-42.45
23-Aug-17	3	0
24-Aug-17	4	-157.64
25-Aug-17	5	-268.41
26-Aug-17	6	-137.31
27-Aug-17	7	-32.46
28-Aug-17	1	-13.36
29-Aug-17	2	-31.80
30-Aug-17	3	-24.00
31-Aug-17	4	-81.23
1-Sep-17	5	-87.97
2-Sep-17	6	-191.31
3-Sep-17	7	-185.05
4-Sep-17	1	-150.51
5-Sep-17	2	-36.45
6-Sep-17	3	-22.28
7-Sep-17	4	-18.65
8-Sep-17	5	-96.41
9-Sep-17	6	-160.70
10-Sep-17	7	-54.36
11-Sep-17	1	-5.50
12-Sep-17	2	-30.22
13-Sep-17	3	-185.82
14-Sep-17	4	-17.31
15-Sep-17	5	0
16-Sep-17	6	-61.51
17-Sep-17	7	-84.74
18-Sep-17	1	-113.82
19-Sep-17	2	-83.53
20-Sep-17	3	-88.14
21-Sep-17	4	-47.91
22-Sep-17	5	-78.42
23-Sep-17	6	-143.79
24-Sep-17	7	-155.67
25-Sep-17	1	-26.22
26-Sep-17	2	-22.29
27-Sep-17	3	-17.00
28-Sep-17	4	-12.99
29-Sep-17	5	-38.00
30-Sep-17	6	-173.96
1-Oct-17	7	-191.47
2-Oct-17	1	-76.53
3-Oct-17	2	-24.40
4-Oct-17	3	-16.83
5-Oct-17	4	-65.60
6-Oct-17	5	-251.66
7-Oct-17	6	-311.84
8-Oct-17	7	-142.27
9-Oct-17	1	-145.75
10-Oct-17	2	-60.29
11-Oct-17	3	-112.13
12-Oct-17	4	-193.56
13-Oct-17	5	-126.05
14-Oct-17	6	-198.06
15-Oct-17	7	-170.64
16-Oct-17	1	-178.84
17-Oct-17	2	-116.52
18-Oct-17	3	-63.28
19-Oct-17	4	-196.06
20-Oct-17	5	-208.74
21-Oct-17	6	-19.99
22-Oct-17	7	-170.10
23-Oct-17	1	-43.71
24-Oct-17	2	-116.65
25-Oct-17	3	-45.91
26-Oct-17	4	-88.33
27-Oct-17	5	-9.99
28-Oct-17	6	-12.64
29-Oct-17	7	-96.49
30-Oct-17	1	-32.98
31-Oct-17	2	-136.19
1-Nov-17	3	-2.99
2-Nov-17	4	-104.77
3-Nov-17	5	-175.20
4-Nov-17	6	33.74
5-Nov-17	7	-244.16
6-Nov-17	1	-160.44
7-Nov-17	2	-16.02
8-Nov-17	3	-53.32
9-Nov-17	4	0
10-Nov-17	5	-50.76
11-Nov-17	6	-194.56
12-Nov-17	7	-208.74
13-Nov-17	1	-165.58
14-Nov-17	2	-111.68
15-Nov-17	3	0
16-Nov-17	4	-35.00
17-Nov-17	5	-104.23
18-Nov-17	6	-131.94
19-Nov-17	7	-36.96
20-Nov-17	1	-7.70
21-Nov-17	2	-10.04
22-Nov-17	3	-231.73
23-Nov-17	4	0
24-Nov-17	5	-35.62
25-Nov-17	6	-161.98
26-Nov-17	7	-165.01
27-Nov-17	1	-71.80
28-Nov-17	2	-122.34
29-Nov-17	3	-115.38
30-Nov-17	4	-90.58
1-Dec-17	5	-57.40
2-Dec-17	6	-121.54
3-Dec-17	7	-125.03
4-Dec-17	1	-86.99
5-Dec-17	2	-34.10
6-Dec-17	3	-21.62
7-Dec-17	4	-94.31
8-Dec-17	5	-140.63
9-Dec-17	6	-211.74
10-Dec-17	7	-130.83
11-Dec-17	1	-155.11
12-Dec-17	2	-77.95
13-Dec-17	3	-54.09
14-Dec-17	4	-60.31
15-Dec-17	5	-50.67
16-Dec-17	6	-110.50
17-Dec-17	7	-399.67
18-Dec-17	1	-151.57
19-Dec-17	2	0
20-Dec-17	3	0
21-Dec-17	4	-24.50
22-Dec-17	5	-35.92
23-Dec-17	6	-37.73
24-Dec-17	7	-53.59
25-Dec-17	1	0
26-Dec-17	2	0
27-Dec-17	3	0
28-Dec-17	4	-111.57
29-Dec-17	5	-167.12
30-Dec-17	6	0
31-Dec-17	7	0
1-Jan-18	1	-2.99
2-Jan-18	2	-23.21
3-Jan-18	3	-13.38
4-Jan-18	4	0
5-Jan-18	5	-55.92
6-Jan-18	6	-21.05
7-Jan-18	7	-6.00
8-Jan-18	1	-76.51
9-Jan-18	2	-29.97
10-Jan-18	3	-29.36
11-Jan-18	4	-106.59
12-Jan-18	5	-97.85
13-Jan-18	6	-44.06
14-Jan-18	7	-4.53
15-Jan-18	1	-92.02
16-Jan-18	2	-63.10
17-Jan-18	3	-23.79
18-Jan-18	4	-87.16
19-Jan-18	5	-2.70
20-Jan-18	6	-213.86
21-Jan-18	7	-66.91
22-Jan-18	1	-69.37
23-Jan-18	2	0
24-Jan-18	3	-24.47
25-Jan-18	4	0
26-Jan-18	5	-38.57
27-Jan-18	6	-391.23
28-Jan-18	7	0
29-Jan-18	1	-29.06
30-Jan-18	2	-53.26
31-Jan-18	3	-23.06
1-Feb-18	4	-255.93
2-Feb-18	5	-81.34
3-Feb-18	6	-366.82
4-Feb-18	7	0
5-Feb-18	1	0
6-Feb-18	2	-12.99
7-Feb-18	3	-17.30
8-Feb-18	4	-212.34
9-Feb-18	5	-219.93
10-Feb-18	6	-130.32
11-Feb-18	7	-69.03
12-Feb-18	1	-22.82
13-Feb-18	2	-20.17
14-Feb-18	3	-12.64
15-Feb-18	4	-79.72
16-Feb-18	5	-18.03
17-Feb-18	6	-90.53
18-Feb-18	7	-42.21
19-Feb-18	1	0
20-Feb-18	2	-53.31
21-Feb-18	3	-11.91
22-Feb-18	4	-51.58
23-Feb-18	5	-36.78
24-Feb-18	6	-157.61
25-Feb-18	7	-44.92
26-Feb-18	1	-45.30
27-Feb-18	2	-47.54
28-Feb-18	3	-20.66
1-Mar-18	4	-65.97
2-Mar-18	5	-171.30
3-Mar-18	6	-65.76
4-Mar-18	7	-100.00
5-Mar-18	1	-72.69
6-Mar-18	2	-18.96
7-Mar-18	3	-93.15
8-Mar-18	4	0
9-Mar-18	5	-125.94
10-Mar-18	6	0
11-Mar-18	7	0
12-Mar-18	1	0
13-Mar-18	2	0
14-Mar-18	3	0
15-Mar-18	4	0
16-Mar-18	5	-6.43
17-Mar-18	6	-140.67
18-Mar-18	7	-1.04
19-Mar-18	1	-15.98
20-Mar-18	2	0
21-Mar-18	3	0
22-Mar-18	4	0
23-Mar-18	5	0
24-Mar-18	6	0
25-Mar-18	7	0
26-Mar-18	1	-49.82
27-Mar-18	2	0
28-Mar-18	3	0
29-Mar-18	4	0
30-Mar-18	5	-12.99
31-Mar-18	6	0
1-Apr-18	7	-81.57
2-Apr-18	1	0
3-Apr-18	2	-12.74
4-Apr-18	3	0
