Dates	Day of the Week, M=1	Weekday	Count	Net Changes
42554	7	FALSE	5	-223.65
42555	1	TRUE	1	0
42556	2	TRUE	2	-5.73
42557	3	TRUE	2	-35.53
42558	4	TRUE	2	-32.42
42559	5	TRUE	7	-281.89
42560	6	FALSE	3	-141.07
42561	7	FALSE	1	-73.49
42562	1	TRUE	4	-26.5
42563	2	TRUE	2	-45.43
42564	3	TRUE	1	0
42565	4	TRUE	4	-25.14
42566	5	TRUE	2	94.66
42567	6	FALSE	23	-312.37
42568	7	FALSE	8	-120.98
42569	1	TRUE	2	-42.9
42570	2	TRUE	2	-5.97
42571	3	TRUE	1	0
42572	4	TRUE	3	-45.92
42573	5	TRUE	3	-113
42574	6	FALSE	9	-211.23
42575	7	FALSE	5	-150.4
42576	1	TRUE	3	-37.61
42577	2	TRUE	4	-16.91
42578	3	TRUE	3	-22.71
42579	4	TRUE	8	-167.87
42580	5	TRUE	5	-78.65
42581	6	FALSE	7	-94.8
42582	7	FALSE	6	-94.27
42583	1	TRUE	3	-25.67
42584	2	TRUE	1	0
42585	3	TRUE	1	0
42586	4	TRUE	3	-34.02
42587	5	TRUE	4	-55.45
42588	6	FALSE	4	-195.99
42589	7	FALSE	5	-117.79
42590	1	TRUE	6	-101.98
42591	2	TRUE	3	-9.51
42592	3	TRUE	3	-7.16
42593	4	TRUE	5	-131.09
42594	5	TRUE	6	-140.22
42595	6	FALSE	7	-114.16
42596	7	FALSE	12	-239.52
42597	1	TRUE	4	-95.82
42598	2	TRUE	2	-34.18
42599	3	TRUE	4	-164.47
42600	4	TRUE	7	-62.86
42601	5	TRUE	1	-15.39
42602	6	FALSE	5	-81.23
42603	7	FALSE	4	-33.1
42604	1	TRUE	6	-146.63
42605	2	TRUE	1	-38.13
42606	3	TRUE	1	-102.65
42607	4	TRUE	1	-8.03
42608	5	TRUE	1	-95
42609	6	FALSE	6	-228.69
42610	7	FALSE	6	-160.95
42611	1	TRUE	7	-65.64
42612	2	TRUE	5	-162.13
42613	3	TRUE	5	-88.29
42614	4	TRUE	6	-104.5
42615	5	TRUE	7	-112.94
42616	6	FALSE	5	-256.19
42617	7	FALSE	3	-72.99
42618	1	TRUE	2	-15.15
42619	2	TRUE	8	-362.27
42620	3	TRUE	5	-202.37
42621	4	TRUE	7	63.34
42622	5	TRUE	2	-72
42623	6	FALSE	4	-53.84
42624	7	FALSE	6	-195.24
42625	1	TRUE	5	-104.54
42626	2	TRUE	6	-187.57
42627	3	TRUE	5	-128.46
42628	4	TRUE	3	-30.72
42629	5	TRUE	5	-101.4
42630	6	FALSE	7	-139.58
42631	7	FALSE	6	-182.57
42632	1	TRUE	1	-45
42633	2	TRUE	4	-59.83
42634	3	TRUE	3	-26.08
42635	4	TRUE	5	-102.24
42636	5	TRUE	8	-105.51
42637	6	FALSE	2	-13
42638	7	FALSE	7	-202.15
42639	1	TRUE	3	-61.81
42640	2	TRUE	3	-27.13
42641	3	TRUE	3	-36.59
42642	4	TRUE	2	-19
42643	5	TRUE	8	-117.96
42644	6	FALSE	4	-38.22
42645	7	FALSE	5	-121.3
42646	1	TRUE	5	-274.32
42647	2	TRUE	3	-64.97
42648	3	TRUE	4	-279
42649	4	TRUE	1	-12.99
42650	5	TRUE	9	-79.5
42651	6	FALSE	8	-196.06
42652	7	FALSE	6	-169.93
42653	1	TRUE	2	-8.75
42654	2	TRUE	5	-40.04
42655	3	TRUE	3	-36.16
42656	4	TRUE	7	-148.26
42657	5	TRUE	2	-141.24
42658	6	FALSE	4	-38.42
42659	7	FALSE	3	-140.67
42660	1	TRUE	2	-12.49
42661	2	TRUE	1	-7.41
42662	3	TRUE	2	-49.48
42663	4	TRUE	1	-20
42664	5	TRUE	4	-126.2
42665	6	FALSE	2	-35.65
42666	7	FALSE	5	-133.34
42667	1	TRUE	3	-80.5
42668	2	TRUE	1	-24.73
42669	3	TRUE	5	-212.24
42670	4	TRUE	4	-38.37
42671	5	TRUE	3	-162.04
42672	6	FALSE	2	-18.22
42673	7	FALSE	9	-146.84
42674	1	TRUE	3	-37.93
42675	2	TRUE	3	-16.99
42676	3	TRUE	7	-105.92
42677	4	TRUE	2	-21.81
42678	5	TRUE	5	-60.97
42679	6	FALSE	5	-119.75
42680	7	FALSE	6	-170.59
42681	1	TRUE	3	-16.39
42682	2	TRUE	7	-130.27
42683	3	TRUE	2	-21.23
42684	4	TRUE	3	-33.4
42685	5	TRUE	7	-105.33
42686	6	FALSE	3	-60.19
42687	7	FALSE	4	-139.75
42688	1	TRUE	2	-107.82
42689	2	TRUE	1	0
42690	3	TRUE	3	-158.67
42691	4	TRUE	3	-67.66
42692	5	TRUE	4	-155.93
42693	6	FALSE	7	-245.07
42694	7	FALSE	2	-67.86
42695	1	TRUE	2	-106.81
42696	2	TRUE	6	-110.89
42697	3	TRUE	2	-39
42698	4	TRUE	1	0
42699	5	TRUE	5	-182.51
42700	6	FALSE	6	-123.37
42701	7	FALSE	2	-81.5
42702	1	TRUE	6	-38.43
42703	2	TRUE	4	-107.51
42704	3	TRUE	2	-37.71
42705	4	TRUE	3	-36.9
42706	5	TRUE	2	-150
42707	6	FALSE	5	-191.43
42708	7	FALSE	5	-151.81
42709	1	TRUE	5	-255.92
42710	2	TRUE	5	-69.5
42711	3	TRUE	1	0
42712	4	TRUE	2	-31.53
42713	5	TRUE	2	-25
42714	6	FALSE	5	-88.31
42715	7	FALSE	2	-5.98
42716	1	TRUE	1	0
42717	2	TRUE	2	-39.76
42718	3	TRUE	5	-108.5
42719	4	TRUE	3	-21.28
42720	5	TRUE	1	0
42721	6	FALSE	2	-164.1
42722	7	FALSE	1	0
42723	1	TRUE	2	-184.62
42724	2	TRUE	4	-54.92
42725	3	TRUE	2	-130.95
42726	4	TRUE	10	-316.06
42727	5	TRUE	5	-38.99
42728	6	FALSE	1	0
42729	7	FALSE	1	0
42730	1	TRUE	2	-21.81
42731	2	TRUE	2	-63.94
42732	3	TRUE	3	-38.96
42733	4	TRUE	7	-188.91
42734	5	TRUE	5	-80.37
42735	6	FALSE	7	-183.79
42736	7	FALSE	3	-57.99
42737	1	TRUE	8	-231.3
42738	2	TRUE	5	-206.96
42739	3	TRUE	8	-170.18
42740	4	TRUE	10	-205.44
42741	5	TRUE	8	-195.88
42742	6	FALSE	4	-66.93
42743	7	FALSE	1	0
42744	1	TRUE	3	-5.59
42745	2	TRUE	1	-6.08
42746	3	TRUE	1	-6.08
42747	4	TRUE	4	-71.86
42748	5	TRUE	2	-12.49
42749	6	FALSE	2	-10.53
42750	7	FALSE	2	-66.89
42751	1	TRUE	10	-135.44
42752	2	TRUE	3	-58.02
42753	3	TRUE	2	-18.26
42754	4	TRUE	4	-239.63
42755	5	TRUE	3	-26.52
42756	6	FALSE	3	-80.72
42757	7	FALSE	4	-119.26
42758	1	TRUE	5	-74.04
42759	2	TRUE	5	-72.37
42760	3	TRUE	4	-81.31
42761	4	TRUE	1	-8.14
42762	5	TRUE	1	-8.46
42763	6	FALSE	5	-142.46
42764	7	FALSE	8	-118.74
42765	1	TRUE	4	-36.12
42766	2	TRUE	1	-5.75
42767	3	TRUE	7	-288.81
42768	4	TRUE	1	-23.73
42769	5	TRUE	4	-62.27
42770	6	FALSE	3	-44.43
42771	7	FALSE	7	-114.79
42772	1	TRUE	3	-32.49
42773	2	TRUE	4	-90.58
42774	3	TRUE	5	-76.16
42775	4	TRUE	4	-63.58
42776	5	TRUE	3	-95.88
42777	6	FALSE	4	-26.57
42778	7	FALSE	1	0
42779	1	TRUE	1	-42.97
42780	2	TRUE	1	-29.86
42781	3	TRUE	2	-23.4
42782	4	TRUE	2	-121.8
42783	5	TRUE	4	-424.19
42784	6	FALSE	5	-45.32
42785	7	FALSE	1	-23.1
42786	1	TRUE	6	77.36
42787	2	TRUE	2	-112.84
42788	3	TRUE	2	-68.3
42789	4	TRUE	6	-124.03
42790	5	TRUE	4	-141.43
42791	6	FALSE	9	-508.88
42792	7	FALSE	3	-96.19
42793	1	TRUE	5	-229.38
42794	2	TRUE	9	-453.16
42795	3	TRUE	6	-297.18
42796	4	TRUE	2	-176.7
42797	5	TRUE	3	-126.13
42798	6	FALSE	3	-303.75
42799	7	FALSE	5	-206.04
42800	1	TRUE	2	-22.99
42801	2	TRUE	1	-111.59
42802	3	TRUE	1	0
42803	4	TRUE	2	-18.96
42804	5	TRUE	1	-105
42805	6	FALSE	13	-279.74
42806	7	FALSE	1	-82.96
42807	1	TRUE	1	0
42808	2	TRUE	1	0
42809	3	TRUE	2	-111.93
42810	4	TRUE	1	0
42811	5	TRUE	1	0
42812	6	FALSE	6	-141.07
42813	7	FALSE	4	-131.73
42814	1	TRUE	1	-38.78
42815	2	TRUE	1	-28.31
42816	3	TRUE	1	-75.01
42817	4	TRUE	1	0
42818	5	TRUE	4	-53.76
42819	6	FALSE	6	-212.37
42820	7	FALSE	3	-139.26
42821	1	TRUE	1	-34.06
42822	2	TRUE	2	-29.75
42823	3	TRUE	2	-17.3
42824	4	TRUE	1	-12.69
42825	5	TRUE	8	-348.47
42826	6	FALSE	7	-146.01
42827	7	FALSE	5	-50.85
42828	1	TRUE	1	-10
42829	2	TRUE	1	-17
42830	3	TRUE	1	0
42831	4	TRUE	5	-226.88
42832	5	TRUE	2	-21.63
42833	6	FALSE	4	-148.37
42834	7	FALSE	2	-160.6
42835	1	TRUE	4	-77.29
42836	2	TRUE	2	-63.95
42837	3	TRUE	2	-68.55
42838	4	TRUE	4	-95.6
42839	5	TRUE	2	-28.1
42840	6	FALSE	10	-155.57
42841	7	FALSE	9	-167.95
42842	1	TRUE	10	-93.56
42843	2	TRUE	4	-171.71
42844	3	TRUE	4	-59.48
42845	4	TRUE	5	-87.25
42846	5	TRUE	11	-226.51
42847	6	FALSE	9	-296.39
42848	7	FALSE	4	-100.65
42849	1	TRUE	11	-133.81
42850	2	TRUE	4	-65.38
42851	3	TRUE	7	-208.98
42852	4	TRUE	11	-305.82
42853	5	TRUE	4	-212.78
42854	6	FALSE	7	-167.17
42855	7	FALSE	3	-129.59
42856	1	TRUE	7	-228.91
42857	2	TRUE	2	-8.55
42858	3	TRUE	3	-144.45
42859	4	TRUE	5	-55.35
42860	5	TRUE	1	-28.85
42861	6	FALSE	7	-243.38
42862	7	FALSE	4	-110.75
42863	1	TRUE	6	-61.32
42864	2	TRUE	3	-34.26
42865	3	TRUE	3	-30.09
42866	4	TRUE	2	-7.77
42867	5	TRUE	6	-57.96
42868	6	FALSE	5	-221.13
42869	7	FALSE	1	-50.93
42870	1	TRUE	1	-6.25
42871	2	TRUE	2	-17.47
42872	3	TRUE	2	-13.35
42873	4	TRUE	5	-94.54
42874	5	TRUE	2	-26.8
42875	6	FALSE	5	-276.74
42876	7	FALSE	3	-119.73
42877	1	TRUE	2	-15.75
42878	2	TRUE	3	-28.3
42879	3	TRUE	4	-60.53
42880	4	TRUE	1	-7.05
42881	5	TRUE	4	-243.29
42882	6	FALSE	8	-274.63
42883	7	FALSE	5	-267.91
42884	1	TRUE	6	-83.32
42885	2	TRUE	6	-20.17
42886	3	TRUE	2	-94.66
42887	4	TRUE	3	-13.43
42888	5	TRUE	1	-94.4
42889	6	FALSE	1	-48.1
42890	7	FALSE	5	-85.29
42891	1	TRUE	3	-131.12
42892	2	TRUE	1	-43.5
42893	3	TRUE	1	-23.09
42894	4	TRUE	3	-91.82
42895	5	TRUE	3	-72.24
42896	6	FALSE	4	-96.74
42897	7	FALSE	6	-347.92
42898	1	TRUE	6	-81.44
42899	2	TRUE	1	0
42900	3	TRUE	2	-8.11
42901	4	TRUE	1	-9.29
42902	5	TRUE	6	-95.67
42903	6	FALSE	5	-148.65
42904	7	FALSE	9	-190.32
42905	1	TRUE	3	-39.26
42906	2	TRUE	4	-99.27
42907	3	TRUE	2	-21.27
42908	4	TRUE	2	-47.99
42909	5	TRUE	4	-86.59
42910	6	FALSE	11	-271.36
42911	7	FALSE	2	-13.49
42912	1	TRUE	4	-105.16
42913	2	TRUE	3	-68.73
42914	3	TRUE	4	-259.09
42915	4	TRUE	3	-36.28
42916	5	TRUE	7	-143.83
42917	6	FALSE	9	-301.66
42918	7	FALSE	5	-280.45
42919	1	TRUE	2	-33.81
42920	2	TRUE	3	-64.88
42921	3	TRUE	6	-157.12
42922	4	TRUE	7	-128.77
42923	5	TRUE	4	-36.32
42924	6	FALSE	5	-171.04
42925	7	FALSE	4	-70
42926	1	TRUE	4	-95.33
42927	2	TRUE	5	-90.53
42928	3	TRUE	4	-46.98
42929	4	TRUE	3	-29.02
42930	5	TRUE	6	-36.81
42931	6	FALSE	6	-261.71
42932	7	FALSE	9	-188.97
42933	1	TRUE	4	-38.8
42934	2	TRUE	2	-44.02
42935	3	TRUE	1	0
42936	4	TRUE	1	0
42937	5	TRUE	3	-206.8
42938	6	FALSE	3	-28.77
42939	7	FALSE	4	-66.96
42940	1	TRUE	1	-62
42941	2	TRUE	1	-29
42942	3	TRUE	1	0
42943	4	TRUE	5	-145.1
42944	5	TRUE	5	-63.37
42945	6	FALSE	4	-205.84
42946	7	FALSE	6	-137.14
42947	1	TRUE	3	-42.35
42948	2	TRUE	2	-10.2
42949	3	TRUE	2	-33.95
42950	4	TRUE	9	-283.68
42951	5	TRUE	4	-224.14
42952	6	FALSE	8	-589.3
42953	7	FALSE	3	-38.16
42954	1	TRUE	3	-57.53
42955	2	TRUE	1	-5.66
42956	3	TRUE	5	-46.13
42957	4	TRUE	4	-69.58
42958	5	TRUE	2	-28.31
42959	6	FALSE	6	-150.33
42960	7	FALSE	8	-152.17
42961	1	TRUE	2	-11.01
42962	2	TRUE	6	-83.22
42963	3	TRUE	1	-8.34
42964	4	TRUE	3	-28.79
42965	5	TRUE	3	-62.83
42966	6	FALSE	7	-100.49
42967	7	FALSE	3	-24.55
42968	1	TRUE	3	-76.53
42969	2	TRUE	2	-42.45
42970	3	TRUE	1	0
42971	4	TRUE	5	-157.64
42972	5	TRUE	7	-268.41
42973	6	FALSE	6	-137.31
42974	7	FALSE	1	-32.46
42975	1	TRUE	1	-13.36
42976	2	TRUE	2	-31.8
42977	3	TRUE	2	-24
42978	4	TRUE	3	-81.23
42979	5	TRUE	3	-87.97
42980	6	FALSE	10	-191.31
42981	7	FALSE	3	-185.05
42982	1	TRUE	3	-150.51
42983	2	TRUE	4	-36.45
42984	3	TRUE	2	-22.28
42985	4	TRUE	2	-18.65
42986	5	TRUE	2	-96.41
42987	6	FALSE	4	-160.7
42988	7	FALSE	2	-54.36
42989	1	TRUE	2	-5.5
42990	2	TRUE	3	-30.22
42991	3	TRUE	7	-185.82
42992	4	TRUE	4	-17.31
42993	5	TRUE	1	0
42994	6	FALSE	1	-61.51
42995	7	FALSE	2	-84.74
42996	1	TRUE	10	-113.82
42997	2	TRUE	3	-83.53
42998	3	TRUE	4	-88.14
42999	4	TRUE	3	-47.91
43000	5	TRUE	6	-78.42
43001	6	FALSE	8	-143.79
43002	7	FALSE	6	-155.67
43003	1	TRUE	2	-26.22
43004	2	TRUE	2	-22.29
43005	3	TRUE	2	-17
43006	4	TRUE	1	-12.99
43007	5	TRUE	2	-38
43008	6	FALSE	5	-173.96
43009	7	FALSE	7	-191.47
43010	1	TRUE	5	-76.53
43011	2	TRUE	2	-24.4
43012	3	TRUE	2	-16.83
43013	4	TRUE	7	-65.6
43014	5	TRUE	7	-251.66
43015	6	FALSE	6	-311.84
43016	7	FALSE	5	-142.27
43017	1	TRUE	5	-145.75
43018	2	TRUE	4	-60.29
43019	3	TRUE	3	-112.13
43020	4	TRUE	4	-193.56
43021	5	TRUE	3	-126.05
43022	6	FALSE	5	-198.06
43023	7	FALSE	8	-170.64
43024	1	TRUE	10	-178.84
43025	2	TRUE	7	-116.52
43026	3	TRUE	6	-63.28
43027	4	TRUE	8	-196.06
43028	5	TRUE	11	-208.74
43029	6	FALSE	1	-19.99
43030	7	FALSE	9	-109.1
43031	1	TRUE	2	-43.71
43032	2	TRUE	3	-116.65
43033	3	TRUE	5	-45.91
43034	4	TRUE	3	-88.33
43035	5	TRUE	1	-9.99
43036	6	FALSE	1	-12.64
43037	7	FALSE	2	-96.49
43038	1	TRUE	2	-32.98
43039	2	TRUE	5	-136.19
43040	3	TRUE	1	-2.99
43041	4	TRUE	5	-104.77
43042	5	TRUE	7	-175.2
43043	6	FALSE	1	33.74
43044	7	FALSE	7	-244.16
43045	1	TRUE	4	-160.44
43046	2	TRUE	1	-16.02
43047	3	TRUE	1	-53.32
43048	4	TRUE	1	0
43049	5	TRUE	1	-50.76
43050	6	FALSE	4	-194.56
43051	7	FALSE	6	-208.74
43052	1	TRUE	6	-165.58
43053	2	TRUE	2	-111.68
43054	3	TRUE	1	0
43055	4	TRUE	1	-35
43056	5	TRUE	2	-104.23
43057	6	FALSE	3	-131.94
43058	7	FALSE	3	-36.96
43059	1	TRUE	1	-7.7
43060	2	TRUE	2	-10.04
43061	3	TRUE	3	-231.73
43062	4	TRUE	1	0
43063	5	TRUE	1	-35.62
43064	6	FALSE	2	-161.98
43065	7	FALSE	5	-165.01
43066	1	TRUE	4	-71.8
43067	2	TRUE	5	-122.34
43068	3	TRUE	3	-115.38
43069	4	TRUE	4	-90.58
43070	5	TRUE	3	-57.4
43071	6	FALSE	3	-121.54
43072	7	FALSE	4	-125.03
43073	1	TRUE	6	-86.99
43074	2	TRUE	3	-34.1
43075	3	TRUE	2	-21.62
43076	4	TRUE	5	-94.31
43077	5	TRUE	11	-140.63
43078	6	FALSE	15	-211.74
43079	7	FALSE	7	-130.83
43080	1	TRUE	7	-155.11
43081	2	TRUE	6	-77.95
43082	3	TRUE	3	-54.09
43083	4	TRUE	4	-60.31
43084	5	TRUE	3	-50.67
43085	6	FALSE	6	-110.5
43086	7	FALSE	6	-399.67
43087	1	TRUE	11	-151.57
43088	2	TRUE	1	0
43089	3	TRUE	1	0
43090	4	TRUE	3	-24.5
43091	5	TRUE	1	-35.92
43092	6	FALSE	4	-37.73
43093	7	FALSE	1	-53.59
43094	1	TRUE	1	0
43095	2	TRUE	1	0
43096	3	TRUE	1	0
43097	4	TRUE	2	-111.57
43098	5	TRUE	4	-167.12
43099	6	FALSE	1	0
43100	7	FALSE	1	0
43101	1	TRUE	1	-2.99
43102	2	TRUE	1	-23.21
43103	3	TRUE	2	-13.38
43104	4	TRUE	1	0
43105	5	TRUE	2	-55.92
43106	6	FALSE	4	-21.05
43107	7	FALSE	2	-6
43108	1	TRUE	5	-76.51
43109	2	TRUE	5	-29.97
43110	3	TRUE	3	-29.36
43111	4	TRUE	7	-106.59
43112	5	TRUE	3	-97.85
43113	6	FALSE	3	-44.06
43114	7	FALSE	1	-4.53
43115	1	TRUE	4	-92.02
43116	2	TRUE	1	-63.1
43117	3	TRUE	2	-23.79
43118	4	TRUE	6	-87.16
43119	5	TRUE	1	-2.7
43120	6	FALSE	4	-213.86
43121	7	FALSE	2	-66.91
43122	1	TRUE	1	-69.37
43123	2	TRUE	1	0
43124	3	TRUE	2	-24.47
43125	4	TRUE	1	0
43126	5	TRUE	3	-38.57
43127	6	FALSE	5	-391.23
43128	7	FALSE	1	0
43129	1	TRUE	3	-29.06
43130	2	TRUE	4	-53.26
43131	3	TRUE	4	-23.06
43132	4	TRUE	10	-255.93
43133	5	TRUE	5	-81.34
43134	6	FALSE	5	-366.82
43135	7	FALSE	1	0
43136	1	TRUE	1	0
43137	2	TRUE	1	-12.99
43138	3	TRUE	2	-17.3
43139	4	TRUE	3	-212.34
43140	5	TRUE	1	-219.93
43141	6	FALSE	1	-130.32
43142	7	FALSE	1	-69.03
43143	1	TRUE	2	-22.82
43144	2	TRUE	2	-20.17
43145	3	TRUE	2	-12.64
43146	4	TRUE	4	-79.72
43147	5	TRUE	2	-18.03
43148	6	FALSE	2	-90.53
43149	7	FALSE	3	-42.21
43150	1	TRUE	1	0
43151	2	TRUE	2	-53.31
43152	3	TRUE	2	-11.91
43153	4	TRUE	3	-51.58
43154	5	TRUE	1	-36.78
43155	6	FALSE	2	-157.61
43156	7	FALSE	2	-44.92
43157	1	TRUE	2	-45.3
43158	2	TRUE	2	-47.54
43159	3	TRUE	2	-20.66
43160	4	TRUE	6	-65.97
43161	5	TRUE	2	-171.3
43162	6	FALSE	2	-65.76
43163	7	FALSE	1	-100
43164	1	TRUE	2	-72.69
43165	2	TRUE	2	-18.96
43166	3	TRUE	2	-93.15
43167	4	TRUE	1	0
43168	5	TRUE	1	-125.94
43169	6	FALSE	1	0
43170	7	FALSE	1	0
43171	1	TRUE	1	0
43172	2	TRUE	1	0
43173	3	TRUE	1	0
43174	4	TRUE	1	0
43175	5	TRUE	3	-6.43
43176	6	FALSE	5	-140.67
43177	7	FALSE	1	-1.04
43178	1	TRUE	1	-15.98
43179	2	TRUE	1	0
43180	3	TRUE	1	0
43181	4	TRUE	1	0
43182	5	TRUE	1	0
43183	6	FALSE	1	0
43184	7	FALSE	1	0
43185	1	TRUE	1	-49.82
43186	2	TRUE	1	0
43187	3	TRUE	1	0
43188	4	TRUE	1	0
43189	5	TRUE	1	-12.99
43190	6	FALSE	1	0
43191	7	FALSE	2	-81.66
43192	1	TRUE	1	0
43193	2	TRUE	1	-12.74
43194	3	TRUE	1	0
43195	4	TRUE	1	0
43196	5	TRUE	4	-157.12
43197	6	FALSE	4	-66.01
43198	7	FALSE	8	-205
43199	1	TRUE	1	0
43200	2	TRUE	1	0
43201	3	TRUE	1	0
43202	4	TRUE	1	0
43203	5	TRUE	1	0
43204	6	FALSE	2	-236.78
43205	7	FALSE	1	-56.66
43206	1	TRUE	1	0
43207	2	TRUE	1	0
43208	3	TRUE	1	0
43209	4	TRUE	1	-15.98
43210	5	TRUE	1	-86.45
43211	6	FALSE	2	-65.33
43212	7	FALSE	2	-62.61
43213	1	TRUE	1	0
43214	2	TRUE	2	-12.99
43215	3	TRUE	1	0
43216	4	TRUE	4	-104.07
43217	5	TRUE	5	-313.52
43218	6	FALSE	4	-193.8
43219	7	FALSE	4	-180.42
43220	1	TRUE	1	-9.67
43221	2	TRUE	1	0
43222	3	TRUE	3	-28.14
43223	4	TRUE	1	-11.97
43224	5	TRUE	1	0
43225	6	FALSE	1	-12.99
43226	7	FALSE	1	-44.03
43227	1	TRUE	3	-40.94
43228	2	TRUE	2	-12.1
43229	3	TRUE	2	-50.6
43230	4	TRUE	1	0
43231	5	TRUE	1	-75.66
43232	6	FALSE	1	-250.54
43233	7	FALSE	1	-105.23
43234	1	TRUE	1	0
43235	2	TRUE	1	0
43236	3	TRUE	2	-157.05
43237	4	TRUE	1	-32.9
43238	5	TRUE	1	0
43239	6	FALSE	1	-15.98
43240	7	FALSE	1	0
43241	1	TRUE	1	0
43242	2	TRUE	1	0
43243	3	TRUE	1	-121.26
43244	4	TRUE	1	0
43245	5	TRUE	1	0
43246	6	FALSE	1	-40.94
43247	7	FALSE	1	-126.22
43248	1	TRUE	1	0
43249	2	TRUE	1	-69.55
43250	3	TRUE	1	0
43251	4	TRUE	3	-154.14
43252	5	TRUE	1	-16.26
43253	6	FALSE	5	-283.73
43254	7	FALSE	2	-19.12
43255	1	TRUE	2	-158.47
43256	2	TRUE	9	-476.89
43257	3	TRUE	7	-147.75
43258	4	TRUE	7	-574.2
43259	5	TRUE	12	-349.93
43260	6	FALSE	10	-267.54
43261	7	FALSE	8	-212.15
43262	1	TRUE	1	0
43263	2	TRUE	2	-111.32
43264	3	TRUE	1	-51.18
43265	4	TRUE	1	0
43266	5	TRUE	1	0
43267	6	FALSE	3	-60.22
43268	7	FALSE	1	18.1
43269	1	TRUE	1	0
43270	2	TRUE	1	-15.98
43271	3	TRUE	1	0
43272	4	TRUE	1	-35.35
43273	5	TRUE	2	-107.13
43274	6	FALSE	4	-72.15
43275	7	FALSE	1	0
43276	1	TRUE	1	0
43277	2	TRUE	1	-51.75
43278	3	TRUE	1	-42.25
43279	4	TRUE	1	0
43280	5	TRUE	1	-12.99
43281	6	FALSE	1	-106.04
43282	7	FALSE	1	-2.99
43283	1	TRUE	1	-7.67
43284	2	TRUE	1	-12.02
43285	3	TRUE	1	0
43286	4	TRUE	1	-129.43
43287	5	TRUE	4	-135.7
43288	6	FALSE	2	-212.9
43289	7	FALSE	1	0
43290	1	TRUE	2	-81.8
43291	2	TRUE	2	-161.38
