Dates	Day of the Week, M=1	Weekday	Count	Net Changes
41918	1	TRUE	6	-166.32
41919	2	TRUE	6	-66.08
41920	3	TRUE	6	-404.66
41921	4	TRUE	4	-274.34
41922	5	TRUE	7	-52.03
41923	6	FALSE	7	-312.97
41924	7	FALSE	5	-135.2
41925	1	TRUE	3	-47.41
41926	2	TRUE	4	-46.97
41927	3	TRUE	6	-266.8
41928	4	TRUE	3	-20.35
41929	5	TRUE	6	-128.18
41930	6	FALSE	3	-92.23
41931	7	FALSE	8	-203.88
41932	1	TRUE	2	-60
41933	2	TRUE	2	-27.41
41934	3	TRUE	1	-6.8
41935	4	TRUE	2	-35.25
41936	5	TRUE	3	-75.73
41937	6	FALSE	3	-53.08
41938	7	FALSE	4	-308.06
41939	1	TRUE	2	-38.03
41940	2	TRUE	1	-6.69
41941	3	TRUE	6	-174.09
41942	4	TRUE	3	-29.09
41943	5	TRUE	5	-148.84
41944	6	FALSE	8	-153
41945	7	FALSE	5	-175.53
41946	1	TRUE	5	-48.28
41947	2	TRUE	3	-130.39
41948	3	TRUE	2	-29.36
41949	4	TRUE	1	0
41950	5	TRUE	1	-9.99
41951	6	FALSE	4	-91.64
41952	7	FALSE	2	-53.05
41953	1	TRUE	3	-32.51
41954	2	TRUE	3	-21.4
41955	3	TRUE	3	-50.67
41956	4	TRUE	5	-174.47
41957	5	TRUE	5	-276.08
41958	6	FALSE	5	-83.29
41959	7	FALSE	4	-128.6
41960	1	TRUE	3	-64.13
41961	2	TRUE	2	-16.74
41962	3	TRUE	3	-72.69
41963	4	TRUE	1	-6.69
41964	5	TRUE	3	-45.41
41965	6	FALSE	8	-122.31
41966	7	FALSE	7	-216.77
41967	1	TRUE	2	-36.78
41968	2	TRUE	3	-36.03
41969	3	TRUE	4	-30.71
41970	4	TRUE	1	-33.24
41971	5	TRUE	4	-111.42
41972	6	FALSE	5	-65.54
41973	7	FALSE	2	-68.91
41974	1	TRUE	2	-15.25
41975	2	TRUE	6	-69.02
41976	3	TRUE	1	0
41977	4	TRUE	3	-48.77
41978	5	TRUE	2	-28.56
41979	6	FALSE	5	-143.11
41980	7	FALSE	7	-101.06
41981	1	TRUE	4	-49.38
41982	2	TRUE	2	-16.7
41983	3	TRUE	1	-199.96
41984	4	TRUE	3	-30.82
41985	5	TRUE	7	-131.13
41986	6	FALSE	6	-116.63
41987	7	FALSE	4	-82.31
41988	1	TRUE	2	-47.04
41989	2	TRUE	3	-53.49
41990	3	TRUE	5	-82.79
41991	4	TRUE	3	-95.19
41992	5	TRUE	3	-43.31
41993	6	FALSE	5	-251
41994	7	FALSE	3	-35
41995	1	TRUE	2	-46.21
41996	2	TRUE	8	-50.83
41997	3	TRUE	2	-131.59
41998	4	TRUE	1	0
41999	5	TRUE	2	-106.95
42000	6	FALSE	4	-144.41
42001	7	FALSE	5	-101.85
42002	1	TRUE	3	-38.56
42003	2	TRUE	3	-57.06
42004	3	TRUE	3	-40
42005	4	TRUE	7	-144
42006	5	TRUE	3	-81.07
42007	6	FALSE	7	-151.43
42008	7	FALSE	7	-137.46
42009	1	TRUE	2	-42.1
42010	2	TRUE	3	-37.89
42011	3	TRUE	8	-243.48
42012	4	TRUE	3	-47.38
42013	5	TRUE	3	-16.51
42014	6	FALSE	2	-72.67
42015	7	FALSE	4	-51.1
42016	1	TRUE	2	-16.19
42017	2	TRUE	1	-6.62
42018	3	TRUE	3	-16.53
42019	4	TRUE	2	-17.9
42020	5	TRUE	1	0
42021	6	FALSE	4	-70.25
42022	7	FALSE	7	-173.81
42023	1	TRUE	1	0
42024	2	TRUE	1	-7.06
42025	3	TRUE	2	-31.62
42026	4	TRUE	2	-62.32
42027	5	TRUE	2	-28.48
42028	6	FALSE	3	-106.7
42029	7	FALSE	7	-92.46
42030	1	TRUE	1	0
42031	2	TRUE	2	-8.89
42032	3	TRUE	2	-83.25
42033	4	TRUE	2	-18.48
42034	5	TRUE	4	-81.8
42035	6	FALSE	7	-237.91
42036	7	FALSE	7	-194.57
42037	1	TRUE	2	-18.1
42038	2	TRUE	4	-59.3
42039	3	TRUE	1	-7.75
42040	4	TRUE	1	-9.14
42041	5	TRUE	6	-162.03
42042	6	FALSE	7	-121.95
42043	7	FALSE	7	-205.07
42044	1	TRUE	6	-107.63
42045	2	TRUE	4	-72.3
42046	3	TRUE	2	-66.48
42047	4	TRUE	8	-62.16
42048	5	TRUE	10	-138.95
42049	6	FALSE	5	-43.43
42050	7	FALSE	3	-71.64
42051	1	TRUE	7	-163.25
42052	2	TRUE	2	-53
42053	3	TRUE	2	-10.75
42054	4	TRUE	3	-68.8
